Stock Index,Stock Price
AC3235,813.0552019238731
AC3236,251.913775410012
AC3237,1562.7602306325748
AC3238,835.4699490059995
AC3239,266.69713933634944
AC3240,366.216808345144
AC3241,729.1542574901262
AC3242,897.8048452976334
AC3243,906.4307094286219
AC3244,1382.0553236357196
AC3245,300.79127828079265
AC3246,409.0725192395666
AC3247,802.4410093990552
AC3248,211.75794728237764
AC3249,222.23644130499315
AC3250,249.66624901144579
AC3251,1805.755834736063
AC3252,133.78962232995855
AC3253,286.455722705264
AC3254,197.81248971639974
AC3255,995.2572324542255
AC3256,867.4380417734812
AC3257,1530.5245353330602
AC3258,492.2941762582468
AC3259,260.22900836781594
AC3260,295.79454672191014
AC3261,113.06641473339755
AC3262,236.26394340078326
AC3263,384.8527170747334
AC3264,116.50017383865526
AC3265,1072.069987288435
AC3266,856.1402137225891
AC3267,514.8690355897004
AC3268,772.0411905453673
AC3269,394.39005036005545
AC3270,835.6465568989299
AC3271,81.68474140359899
AC3272,362.3102175159713
AC3273,708.7911562426202
AC3274,696.1365548770789
AC3275,415.0475329762116
AC3276,664.8441584151803
AC3277,609.570359141586
AC3278,690.8721751111818
AC3279,208.39448162178553
AC3280,386.34943678627667
AC3281,890.0312579360839
AC3282,127.41057280043407
AC3283,778.2933166510425
AC3284,452.50243518732645
AC3285,104.26334209711757
AC3286,863.8135457032831
AC3287,188.64048659196442
AC3288,187.58300655161793
AC3289,155.8056472624437
AC3290,192.48002580727916
AC3291,189.5991582548403
AC3292,81.07826286659969
AC3293,511.4418576735846
AC3294,185.03854686830363
AC3295,551.359652334027
AC3296,100.10239221680405
AC3297,601.4709276913901
AC3298,798.1115120666748
AC3299,92.67111545336593
AC3300,83.30353345208351
AC3301,825.0688047731976
AC3302,129.15299247386838
AC3303,1242.1081680567654
AC3304,30.061210529826894
AC3305,273.74221038979283
AC3306,153.0634547732671
AC3307,37.36040153474073
AC3308,134.9182122323898
AC3309,263.02274016128706
AC3310,807.036748636795
AC3311,1107.1690222627963
AC3312,884.0771630831885
AC3313,31.14625133674508
AC3314,75.54122900969406
AC3315,118.48237484160995
AC3316,412.8699354280687
AC3317,975.2695307399046
AC3318,538.0238024576345
AC3319,1182.7122076150615
AC3320,17.82285541079824
AC3321,101.00796638479534
AC3322,85.4708062796854
AC3323,874.9260611907272
AC3324,80.38020927268934
AC3325,272.7877536617358
AC3326,374.6826371972445
AC3327,87.70748485444017
AC3328,106.45706005495794
AC3329,694.5847868068981
AC3330,895.1861629045457
AC3331,237.7198517884516
AC3332,783.1266924496101
AC3333,1449.2424624683244
AC3334,313.5206620452093
AC3335,616.8202372386907
AC3336,138.8881805879522
AC3337,618.8860474917851
AC3338,1738.364240723513
AC3339,793.411255777399
AC3340,79.86556161270852
AC3341,1235.4688589099487
AC3342,1204.190359326745
AC3343,272.7677478617634
AC3344,94.45434193475057
AC3345,212.56215016384937
AC3346,81.60168425402168
AC3347,273.46627706540386
AC3348,662.6042085970951
AC3349,515.6530280631781
AC3350,121.40636830394646
AC3351,787.9950025179259
AC3352,58.732541048975634
AC3353,392.78753174459285
AC3354,262.05586551821835
AC3355,622.1651969546199
AC3356,228.22098043103023
AC3357,635.0972936811947
AC3358,1588.05065375762
AC3359,1346.9717170614745
AC3360,1185.3191038320197
AC3361,231.3749953107133
AC3362,358.46083426158214
AC3363,495.7070107807384
AC3364,359.87085669820414
AC3365,99.59690424332013
AC3366,354.6013047120887
AC3367,254.37897139154887
AC3368,796.5451987327136
AC3369,304.73628283510493
AC3370,582.8714419763498
AC3371,378.37997514482436
AC3372,471.95550782814655
AC3373,238.8682438742243
AC3374,335.72270875416734
AC3375,1084.733726838723
AC3376,439.7104659345724
AC3377,193.14750303258006
AC3378,379.15777295196835
AC3379,629.7255357525878
AC3380,140.74679170975452
AC3381,422.78748486040735
AC3382,587.4591594743964
AC3383,133.8890261583578
AC3384,231.6712455987226
AC3385,241.30576483154545
AC3386,104.3199804800883
AC3387,278.0517423001795
AC3388,1638.8928011632333
AC3389,260.0633459013146
AC3390,240.6575345609112
AC3391,825.8351036624582
AC3392,607.5692581414169
AC3393,444.8633742355954
AC3394,508.89430502741516
AC3395,1470.2796120923558
AC3396,47.55876362588248
AC3397,682.4721982612555
AC3398,423.10763192800096
AC3399,63.323232319448266
AC3400,168.06602770827124
AC3401,131.89152092545783
AC3402,473.42381743750167
AC3403,289.39181581821185
AC3404,76.27583251937176
AC3405,113.35709411139948
AC3406,289.9291130873653
AC3407,173.94132517836687
AC3408,676.0090037746835
AC3409,1217.7421905100148
AC3410,937.3249616724465
AC3411,996.0401584121078
AC3412,1511.678160915246
AC3413,168.90472901328195
AC3414,312.21230592851947
AC3415,205.58829152583772
AC3416,556.3659445451686
AC3417,865.6656366517539
AC3418,152.33472811644964
AC3419,1341.8289851651098
AC3420,198.01942786236265
AC3421,213.7431362641094
AC3422,826.6914098624538
AC3423,97.47834885666288
AC3424,1156.9864697501157
AC3425,226.95073500821425
AC3426,75.02391491315615
AC3427,360.0047906637067
AC3428,763.0520529751454
AC3429,761.7051861099196
AC3430,330.721071636973
AC3431,473.4439333240043
AC3432,505.06030749564536
AC3433,194.1813390830137
AC3434,846.9786750343087
AC3435,1107.4941916796802
AC3436,439.01700209321876
AC3437,132.1707047410452
AC3438,1524.6055350606869
AC3439,164.72152131268547
AC3440,1239.5820598602224
AC3441,422.97370061038185
AC3442,41.40363105489615
AC3443,623.9141996720124
AC3444,157.06085119325593
AC3445,116.08047990021083
AC3446,746.9648176529795
AC3447,911.8631751827904
AC3448,150.52116381457517
AC3449,1090.0162864418949
AC3450,205.67719500384703
AC3451,1063.3646632810348
AC3452,717.4563312168423
AC3453,641.0440648485778
AC3454,70.56919373250946
AC3455,718.1883543086524
AC3456,162.8376222455621
AC3457,628.5893941347276
AC3458,719.9760927351459
AC3459,1794.2978722379307
AC3460,521.493179675733
AC3461,581.982678644637
AC3462,482.48837149984826
AC3463,1266.866996179794
AC3464,259.68418320202187
AC3465,610.7405929956154
AC3466,149.06944867497123
AC3467,154.187058934545
AC3468,1394.8919334395766
AC3469,280.410449289677
AC3470,349.49441466641207
AC3471,677.1433335720972
AC3472,215.91952848043755
AC3473,412.6392307328187
AC3474,434.23304690956553
AC3475,89.79175622355547
AC3476,538.5111907264152
AC3477,839.5536938782025
AC3478,139.288103915163
AC3479,215.11972848628724
AC3480,134.12469201407708
AC3481,1121.4560937772644
AC3482,381.66942741002106
AC3483,1024.4411652216727
AC3484,935.1752746150219
AC3485,788.5272062416461
AC3486,106.47992470303541
AC3487,219.44027454460078
AC3488,1744.4629876099534
AC3489,807.8782083088118
AC3490,1558.8695922906486
AC3491,245.52632067800585
AC3492,956.5599352835432
AC3493,72.14361676374887
AC3494,1036.526191506362
AC3495,132.32218902011311
AC3496,1311.09482460346
AC3497,421.75008077768445
AC3498,55.1613947391466
AC3499,372.527695400527
AC3500,109.85743069907875
AC3501,259.910040483908
AC3502,254.0207687460907
AC3503,293.20166145485143
AC3504,1112.963378375885
AC3505,1130.7843540008053
AC3506,458.7063911305315
AC3507,850.6105064684882
AC3508,911.3823339288565
AC3509,379.60985145302146
AC3510,1228.0812423829755
AC3511,1018.9592385712737
AC3512,983.9432853091992
AC3513,537.9033299090227
AC3514,170.7809100261651
AC3515,920.7048206075802
AC3516,549.5090346119747
AC3517,502.2946504493673
